[2019-02-12T16:03:09.920Z] info API started in - 3012
[2019-02-12T16:04:56.762Z] info API started in - 3012
[2019-02-12T16:05:45.098Z] info API started in port - 3012
[2019-02-12T16:06:21.487Z] info API is started. The port is 3012
[2019-02-12T16:06:25.730Z] info API is started. The port is 3012.
[2019-02-13T13:48:37.033Z] info API is started. The port is 3012.
[2019-02-13T13:49:04.489Z] info API is started. The port is 3012.
[2019-02-13T13:49:21.520Z] info API is started. The port is 3012.
[2019-02-13T13:50:30.203Z] info API is started. The port is 3012.
[2019-02-13T13:50:35.854Z] info API is started. The port is 3012.
[2019-02-13T13:51:14.533Z] info API is started. The port is 3012.
[2019-02-13T13:51:55.375Z] info API is started. The port is 3012.
[2019-02-13T13:52:09.322Z] info API is started. The port is 3012.
[2019-02-13T13:53:15.744Z] info API is started. The port is 3012.
[2019-02-13T13:54:21.976Z] info API is started. The port is 3012.
[2019-02-13T13:55:00.730Z] info API is started. The port is 3012.
[2019-02-13T13:55:16.421Z] info API is started. The port is 3012.
[2019-02-13T13:55:45.421Z] info API is started. The port is 3012.
[2019-02-13T13:55:52.125Z] info API is started. The port is 3012.
[2019-02-13T13:58:16.492Z] info API is started. The port is 3012.
[2019-02-13T13:58:21.549Z] info API is started. The port is 3012.
[2019-02-13T13:59:14.690Z] info API is started. The port is 3012.
[2019-02-13T14:01:03.779Z] info API is started. The port is 3012.
[2019-02-13T14:01:10.292Z] info API is started. The port is 3012.
[2019-02-13T14:01:39.001Z] info API is started. The port is 3012.
[2019-02-13T14:02:11.305Z] info API is started. The port is 3012.
[2019-02-13T14:02:48.624Z] info API is started. The port is 3012.
[2019-02-13T14:03:06.971Z] info API is started. The port is 3012.
[2019-02-13T14:03:10.337Z] info API is started. The port is 3012.
[2019-02-13T14:03:17.843Z] info API is started. The port is 3012.
[2019-02-13T14:03:39.865Z] info API is started. The port is 3012.
[2019-02-13T14:03:53.317Z] info API is started. The port is 3012.
[2019-02-13T14:04:15.871Z] info API is started. The port is 3012.
[2019-02-13T14:04:41.693Z] info API is started. The port is 3012.
[2019-02-13T14:05:37.559Z] info API is started. The port is 3012.
[2019-02-13T14:05:47.446Z] info API is started. The port is 3012.
[2019-02-13T14:06:50.905Z] info API is started. The port is 3012.
[2019-02-13T14:08:00.172Z] info API is started. The port is 3012.
[2019-02-13T14:08:11.451Z] info API is started. The port is 3012.
[2019-02-13T14:08:33.968Z] info API is started. The port is 3012.
[2019-02-13T14:08:58.708Z] info API is started. The port is 3012.
[2019-02-13T14:09:18.277Z] info API is started. The port is 3012.
[2019-02-13T14:09:23.920Z] info API is started. The port is 3012.
[2019-02-13T14:09:30.902Z] info API is started. The port is 3012.
[2019-02-13T14:09:36.715Z] info API is started. The port is 3012.
[2019-02-13T14:10:13.288Z] info API is started. The port is 3012.
[2019-02-13T14:10:44.672Z] info API is started. The port is 3012.
[2019-02-13T14:11:01.631Z] info API is started. The port is 3012.
[2019-02-13T14:11:24.237Z] info API is started. The port is 3012.
[2019-02-13T14:13:21.067Z] info API is started. The port is 3012.
[2019-02-13T14:14:25.986Z] info API is started. The port is 3012.
[2019-02-13T14:14:29.098Z] info API is started. The port is 3012.
[2019-02-13T14:14:34.264Z] info API is started. The port is 3012.
[2019-02-13T14:14:41.773Z] info API is started. The port is 3012.
[2019-02-13T14:14:49.112Z] info API is started. The port is 3012.
[2019-02-13T14:14:54.849Z] info API is started. The port is 3012.
[2019-02-13T14:16:58.978Z] info API is started. The port is 3012.
[2019-02-13T14:17:45.329Z] info API is started. The port is 3012.
[2019-02-13T14:19:05.494Z] info API is started. The port is 3012.
[2019-02-13T14:19:10.636Z] info API is started. The port is 3012.
[2019-02-13T14:19:18.975Z] info API is started. The port is 3012.
[2019-02-13T14:20:01.601Z] info API is started. The port is 3012.
[2019-02-13T14:20:29.757Z] info API is started. The port is 3012.
[2019-02-13T14:20:39.062Z] info API is started. The port is 3012.
[2019-02-13T14:20:55.294Z] info API is started. The port is 3012.
[2019-02-13T14:21:39.541Z] info API is started. The port is 3012.
[2019-02-13T14:22:01.309Z] info API is started. The port is 3012.
[2019-02-13T14:22:42.429Z] info API is started. The port is 3012.
[2019-02-13T14:23:09.536Z] info API is started. The port is 3012.
[2019-02-13T14:23:16.923Z] error req.body is not a function
[2019-02-13T14:23:41.466Z] info API is started. The port is 3012.
[2019-02-13T14:23:43.510Z] error res.body is not a function
[2019-02-13T14:24:14.909Z] info API is started. The port is 3012.
[2019-02-13T14:24:22.439Z] info API is started. The port is 3012.
[2019-02-13T14:25:31.155Z] info API is started. The port is 3012.
[2019-02-13T14:25:36.491Z] info API is started. The port is 3012.
[2019-02-13T14:25:59.783Z] info API is started. The port is 3012.
[2019-02-13T14:26:13.354Z] info API is started. The port is 3012.
[2019-02-13T14:26:27.253Z] info API is started. The port is 3012.
[2019-02-13T14:44:12.774Z] info API is started. The port is 3012.
[2019-02-13T14:46:19.995Z] info API is started. The port is 3012.
[2019-02-13T14:46:26.624Z] info API is started. The port is 3012.
[2019-02-13T14:46:42.869Z] info API is started. The port is 3012.
[2019-02-13T14:46:48.624Z] info API is started. The port is 3012.
[2019-02-13T14:47:01.636Z] info API is started. The port is 3012.
[2019-02-13T14:47:39.354Z] info API is started. The port is 3012.
[2019-02-13T14:47:44.854Z] info API is started. The port is 3012.
[2019-02-13T14:48:09.244Z] info API is started. The port is 3012.
[2019-02-13T14:51:02.009Z] info API is started. The port is 3012.
[2019-02-13T14:51:18.444Z] info API is started. The port is 3012.
[2019-02-13T14:51:42.502Z] info API is started. The port is 3012.
[2019-02-13T14:53:44.981Z] info API is started. The port is 3012.
[2019-02-13T14:54:10.567Z] info API is started. The port is 3012.
[2019-02-13T14:54:18.692Z] info API is started. The port is 3012.
[2019-02-13T15:01:45.411Z] info API is started. The port is 3012.
[2019-02-13T15:02:03.871Z] info API is started. The port is 3012.
[2019-02-13T15:02:11.045Z] info API is started. The port is 3012.
[2019-02-13T15:02:30.194Z] info API is started. The port is 3012.
[2019-02-13T15:03:10.974Z] info API is started. The port is 3012.
[2019-02-13T15:04:03.220Z] info API is started. The port is 3012.
[2019-02-13T15:42:43.343Z] info API is started. The port is 3012.
[2019-02-13T15:43:51.315Z] info API is started. The port is 3012.
[2019-02-13T15:45:24.423Z] info API is started. The port is 3012.
[2019-02-13T15:45:30.324Z] info API is started. The port is 3012.
[2019-02-13T15:47:01.680Z] info API is started. The port is 3012.
[2019-02-13T15:47:35.845Z] info API is started. The port is 3012.
[2019-02-13T15:48:35.993Z] info API is started. The port is 3012.
[2019-02-13T15:49:15.901Z] info API is started. The port is 3012.
[2019-02-13T15:49:28.569Z] info API is started. The port is 3012.
[2019-02-13T15:49:37.957Z] info API is started. The port is 3012.
[2019-02-13T15:49:56.762Z] info API is started. The port is 3012.
[2019-02-13T15:50:05.115Z] info API is started. The port is 3012.
[2019-02-13T15:50:08.702Z] info API is started. The port is 3012.
[2019-02-13T15:50:45.941Z] info API is started. The port is 3012.
[2019-02-13T15:51:03.036Z] info API is started. The port is 3012.
[2019-02-13T15:51:14.774Z] info API is started. The port is 3012.
[2019-02-13T15:51:19.545Z] info API is started. The port is 3012.
[2019-02-13T15:51:22.708Z] info API is started. The port is 3012.
[2019-02-13T15:51:34.739Z] info API is started. The port is 3012.
[2019-02-13T15:52:15.905Z] info API is started. The port is 3012.
[2019-02-13T15:52:33.546Z] info API is started. The port is 3012.
[2019-02-13T15:52:45.211Z] info API is started. The port is 3012.
[2019-02-13T15:52:49.923Z] info API is started. The port is 3012.
[2019-02-13T15:53:16.946Z] info API is started. The port is 3012.
[2019-02-13T15:53:35.237Z] info API is started. The port is 3012.
[2019-02-14T10:03:44.234Z] info API is started. The port is 3012.
[2019-02-14T10:04:06.950Z] info API is started. The port is 3012.
[2019-02-14T10:04:28.121Z] info API is started. The port is 3012.
[2019-02-14T10:04:39.001Z] info API is started. The port is 3012.
[2019-02-14T10:04:49.569Z] info API is started. The port is 3012.
[2019-02-14T10:11:26.350Z] info API is started. The port is 3012.
[2019-02-14T10:12:02.510Z] info API is started. The port is 3012.
[2019-02-14T10:12:23.575Z] info API is started. The port is 3012.
[2019-02-14T10:12:41.875Z] info API is started. The port is 3012.
[2019-02-14T10:12:45.341Z] error test is not defined
[2019-02-14T10:13:05.517Z] info API is started. The port is 3012.
[2019-02-14T10:13:19.600Z] info API is started. The port is 3012.
[2019-02-14T10:15:17.323Z] info API is started. The port is 3012.
[2019-02-14T10:21:10.789Z] info API is started. The port is 3012.
[2019-02-14T10:21:22.545Z] info API is started. The port is 3012.
[2019-02-14T10:22:10.094Z] info API is started. The port is 3012.
[2019-02-14T10:22:20.546Z] info API is started. The port is 3012.
[2019-02-14T10:23:19.073Z] info API is started. The port is 3012.
[2019-02-14T10:23:46.948Z] info API is started. The port is 3012.
[2019-02-14T10:24:56.355Z] info API is started. The port is 3012.
[2019-02-14T10:25:16.935Z] info API is started. The port is 3012.
[2019-02-14T10:26:05.801Z] info API is started. The port is 3012.
[2019-02-14T10:26:18.656Z] info API is started. The port is 3012.
[2019-02-14T10:26:47.625Z] info API is started. The port is 3012.
[2019-02-14T10:27:11.466Z] info API is started. The port is 3012.
[2019-02-14T10:27:20.098Z] info API is started. The port is 3012.
[2019-02-14T10:28:06.109Z] info API is started. The port is 3012.
[2019-02-14T10:28:16.816Z] info API is started. The port is 3012.
[2019-02-14T10:28:45.362Z] info API is started. The port is 3012.
[2019-02-14T10:34:16.270Z] info API is started. The port is 3012.
[2019-02-14T10:51:15.254Z] info API is started. The port is 3012.
[2019-02-14T10:51:25.873Z] info API is started. The port is 3012.
[2019-02-14T10:52:05.525Z] info API is started. The port is 3012.
[2019-02-14T11:02:38.493Z] info API is started. The port is 3000.
Error
Error
Error
Error
Error
Error
[2019-02-14T11:14:38.629Z] info API is started. The port is 3000.
Error
Error
Error
Error
Error
[2019-02-14T11:16:58.878Z] info API is started. The port is 3000.
[2019-02-14T11:17:11.664Z] info API is started. The port is 3000.
Error
Error
[2019-02-14T11:17:50.909Z] info API is started. The port is 3000.
[2019-02-14T11:18:11.345Z] info API is started. The port is 3000.
[2019-02-14T11:18:18.404Z] info API is started. The port is 3000.
[2019-02-14T11:18:30.418Z] info API is started. The port is 3000.
[2019-02-14T11:18:41.865Z] info API is started. The port is 3000.
[2019-02-14T11:19:00.472Z] info API is started. The port is 3000.
[2019-02-14T11:33:55.615Z] info API is started. The port is 3000.
[2019-02-14T11:38:18.113Z] info API is started. The port is 3000.
[2019-02-14T11:38:44.671Z] info API is started. The port is 3000.
[2019-02-14T11:42:54.785Z] info API is started. The port is 3000.
[2019-02-14T11:46:58.741Z] info API is started. The port is 3000.
[2019-02-14T11:48:54.661Z] info API is started. The port is 3000.
[2019-02-14T11:53:01.733Z] info API is started. The port is 3000.
[2019-02-14T11:53:49.578Z] info API is started. The port is 3000.
[2019-02-14T11:54:11.811Z] info API is started. The port is 3000.
[2019-02-14T11:55:23.712Z] info API is started. The port is 3000.
[2019-02-14T11:55:33.735Z] error error is not defined
[2019-02-14T11:55:57.951Z] info API is started. The port is 3000.
[2019-02-14T11:56:14.491Z] info API is started. The port is 3000.
[2019-02-14T11:56:17.727Z] error error is not defined
[2019-02-14T12:00:16.118Z] info API is started. The port is 3000.
[2019-02-14T12:00:53.125Z] info API is started. The port is 3000.
[2019-02-14T12:01:01.495Z] info API is started. The port is 3000.
[2019-02-14T12:01:10.826Z] info API is started. The port is 3000.
[2019-02-14T12:01:14.845Z] info API is started. The port is 3000.
[2019-02-14T12:01:47.360Z] info API is started. The port is 3000.
[2019-02-14T12:01:50.874Z] error error is not defined
[2019-02-14T12:03:16.336Z] info API is started. The port is 3000.
[2019-02-14T12:03:20.273Z] error error is not defined
[2019-02-14T12:03:29.078Z] info API is started. The port is 3000.
[2019-02-14T12:03:31.909Z] info errorX
[2019-02-14T12:04:11.479Z] info API is started. The port is 3000.
[2019-02-14T12:04:14.480Z] info errorX
[2019-02-14T12:04:15.375Z] info errorX
[2019-02-14T12:04:24.909Z] info API is started. The port is 3000.
[2019-02-14T12:04:28.061Z] error error is not defined
[2019-02-14T12:04:38.789Z] info API is started. The port is 3000.
[2019-02-14T12:04:43.344Z] error error is not defined
[2019-02-14T12:04:47.161Z] error error is not defined
[2019-02-14T12:04:57.136Z] info API is started. The port is 3000.
[2019-02-14T12:05:00.563Z] error error is not defined
[2019-02-14T12:05:16.067Z] info API is started. The port is 3000.
[2019-02-14T12:05:18.741Z] error error is not defined
[2019-02-14T12:05:28.404Z] info API is started. The port is 3000.
[2019-02-14T12:07:15.752Z] info API is started. The port is 3000.
[2019-02-14T12:08:34.259Z] info API is started. The port is 3000.
[2019-02-14T12:09:05.061Z] info API is started. The port is 3000.
[2019-02-14T12:10:36.093Z] info API is started. The port is 3000.
[2019-02-14T12:11:03.228Z] info API is started. The port is 3000.
[2019-02-14T12:11:15.393Z] info API is started. The port is 3000.
[2019-02-14T12:11:40.615Z] info API is started. The port is 3000.
[2019-02-14T12:11:44.842Z] info errorX
[2019-02-14T12:11:53.388Z] info API is started. The port is 3000.
[2019-02-14T12:11:56.064Z] info errorX
[2019-02-14T12:12:32.321Z] info API is started. The port is 3000.
[2019-02-14T12:12:36.194Z] error error is not defined
[2019-02-14T12:13:19.539Z] info API is started. The port is 3000.
[2019-02-14T12:13:26.179Z] info API is started. The port is 3000.
[2019-02-14T12:13:30.307Z] error error is not defined
[2019-02-14T12:13:38.923Z] info API is started. The port is 3000.
[2019-02-14T12:13:41.474Z] info Internal server error
[2019-02-14T12:13:52.554Z] info API is started. The port is 3000.
[2019-02-14T12:13:55.494Z] error Internal server error
[2019-02-14T12:18:11.987Z] info API is started. The port is 3000.
[2019-02-14T12:20:03.379Z] error Internal server error
[2019-02-14T12:20:50.921Z] info API is started. The port is 3000.
[2019-02-14T12:21:15.873Z] info API is started. The port is 3000.
[2019-02-14T12:21:19.502Z] error Internal server error
[2019-02-14T12:21:27.414Z] info API is started. The port is 3000.
[2019-02-14T12:21:30.391Z] error Internal server error
[2019-02-14T12:21:36.945Z] info API is started. The port is 3000.
[2019-02-14T12:21:52.121Z] info API is started. The port is 3000.
[2019-02-14T12:21:57.459Z] error error is not defined
[2019-02-14T12:22:03.716Z] info API is started. The port is 3000.
[2019-02-14T12:22:05.438Z] error error is not defined
[2019-02-14T12:22:10.682Z] info API is started. The port is 3000.
[2019-02-14T12:22:13.296Z] info API is started. The port is 3000.
[2019-02-14T12:22:16.655Z] error Internal server error
[2019-02-14T12:22:58.693Z] info API is started. The port is 3000.
[2019-02-14T12:23:00.514Z] error Internal server error
[2019-02-14T12:23:07.139Z] info API is started. The port is 3000.
[2019-02-14T12:23:10.043Z] error error is not defined
[2019-02-14T12:23:15.669Z] info API is started. The port is 3000.
[2019-02-14T12:23:18.138Z] error error is not defined
[2019-02-14T12:23:35.215Z] info API is started. The port is 3000.
[2019-02-14T12:23:51.052Z] info API is started. The port is 3000.
[2019-02-14T12:23:55.116Z] info API is started. The port is 3000.
[2019-02-14T12:23:58.927Z] info API is started. The port is 3000.
[2019-02-14T12:24:03.109Z] error Internal server error
[2019-02-14T12:24:25.534Z] info API is started. The port is 3000.
[2019-02-14T12:24:27.491Z] error error is not defined
[2019-02-14T12:24:48.159Z] info API is started. The port is 3000.
[2019-02-14T12:24:59.456Z] info API is started. The port is 3000.
[2019-02-14T12:25:01.584Z] info API is started. The port is 3000.
[2019-02-14T12:25:14.558Z] info API is started. The port is 3000.
[2019-02-14T12:25:17.342Z] error error is not defined
[2019-02-14T12:25:27.849Z] info API is started. The port is 3000.
[2019-02-14T12:25:31.844Z] error Internal server error
[2019-02-14T12:26:08.407Z] info API is started. The port is 3000.
[2019-02-14T12:26:10.733Z] error error is not defined
[2019-02-14T12:26:14.528Z] info API is started. The port is 3000.
[2019-02-14T12:26:16.646Z] error Internal server error
[2019-02-14T12:26:19.850Z] info API is started. The port is 3000.
[2019-02-14T12:26:28.023Z] info API is started. The port is 3000.
[2019-02-14T12:30:20.028Z] info API is started. The port is 3000.
[2019-02-14T12:30:24.623Z] error Internal server error
[2019-02-14T12:30:34.566Z] info API is started. The port is 3000.
[2019-02-14T12:30:36.971Z] error error is not defined
[2019-02-14T12:31:11.472Z] info API is started. The port is 3000.
[2019-02-14T12:31:30.188Z] error Internal server error
[2019-02-14T12:31:40.841Z] info API is started. The port is 3000.
[2019-02-14T12:31:43.027Z] error Internal server error
[2019-02-14T12:31:49.769Z] info API is started. The port is 3000.
[2019-02-14T12:31:57.443Z] info API is started. The port is 3000.
[2019-02-14T12:32:07.270Z] error Internal server error
[2019-02-14T12:32:37.221Z] error Internal server error
[2019-02-14T12:32:48.145Z] info API is started. The port is 3000.
[2019-02-14T12:32:50.667Z] error error is not defined
[2019-02-14T12:33:10.237Z] info API is started. The port is 3000.
[2019-02-14T12:33:38.218Z] info API is started. The port is 3000.
[2019-02-14T12:33:41.966Z] error error is not defined
[2019-02-14T12:33:45.766Z] info API is started. The port is 3000.
[2019-02-14T12:33:49.000Z] error error is not defined
[2019-02-14T12:33:54.577Z] info API is started. The port is 3000.
[2019-02-14T12:34:07.060Z] info API is started. The port is 3000.
[2019-02-14T12:34:29.235Z] info API is started. The port is 3000.
[2019-02-14T12:34:31.414Z] error Internal server error
[2019-02-14T12:34:44.391Z] info API is started. The port is 3000.
[2019-02-14T12:34:49.308Z] error error is not defined
[2019-02-14T12:34:55.994Z] info API is started. The port is 3000.
[2019-02-14T12:35:12.051Z] info API is started. The port is 3000.
[2019-02-14T12:35:16.330Z] error error is not defined
[2019-02-14T12:35:18.322Z] error error is not defined
[2019-02-14T12:35:19.604Z] error error is not defined
[2019-02-14T12:35:34.401Z] info API is started. The port is 3000.
[2019-02-14T12:35:37.218Z] error Internal server error
[2019-02-14T12:35:40.532Z] info API is started. The port is 3000.
[2019-02-14T12:35:42.530Z] error error is not defined
[2019-02-14T12:36:02.722Z] info API is started. The port is 3000.
[2019-02-14T12:36:05.219Z] error Internal server error
[2019-02-14T12:36:09.808Z] info API is started. The port is 3000.
[2019-02-14T12:36:25.866Z] info API is started. The port is 3000.
[2019-02-14T12:36:28.131Z] error error is not defined
[2019-02-14T12:37:07.806Z] info API is started. The port is 3000.
[2019-02-14T12:37:10.928Z] error Internal server error
[2019-02-14T12:37:21.751Z] info API is started. The port is 3000.
[2019-02-14T12:37:52.277Z] info API is started. The port is 3000.
[2019-02-14T16:28:02.060Z] info API is started. The port is 3000.
[2019-02-14T16:29:17.830Z] info API is started. The port is 3000.
[2019-02-14T16:30:20.505Z] info API is started. The port is 3000.
[2019-02-14T16:32:40.580Z] info API is started. The port is 3000.
[2019-02-14T16:32:41.698Z] info API is started. The port is 3000.
[2019-02-14T17:06:30.655Z] info API is started. The port is 3000.
[2019-02-14T17:06:57.074Z] info API is started. The port is 3000.
[2019-02-14T17:07:12.852Z] info API is started. The port is 3000.
[2019-02-14T17:09:04.333Z] info API is started. The port is 3000.
[2019-02-15T08:32:46.919Z] info API is started. The port is 3012.
[2019-02-15T08:36:56.023Z] info API is started. The port is 3012.
[2019-02-15T08:45:00.131Z] info API is started. The port is 3012.
[2019-02-15T08:45:27.602Z] info API is started. The port is 3012.
[2019-02-15T08:45:36.022Z] error Internal server error
[2019-02-15T08:45:59.672Z] error Internal server error
[2019-02-15T08:47:33.013Z] info API is started. The port is 3012.
[2019-02-15T08:47:35.562Z] error Internal server error
[2019-02-15T08:47:35.607Z] error Internal server error
[2019-02-15T08:48:41.121Z] info API is started. The port is 3012.
[2019-02-15T08:48:43.284Z] error Internal server error
[2019-02-15T08:48:43.852Z] error Internal server error
[2019-02-15T08:48:43.882Z] error Internal server error
[2019-02-15T08:49:36.362Z] info API is started. The port is 3012.
[2019-02-15T08:54:47.371Z] info API is started. The port is 3012.
[2019-02-15T09:11:42.718Z] info API is started. The port is 3012.
[2019-02-15T09:12:54.099Z] info API is started. The port is 3012.
[2019-02-15T09:13:28.908Z] info API is started. The port is 3012.
[2019-02-15T09:14:19.045Z] info API is started. The port is 3012.
[2019-02-15T09:38:24.162Z] info API is started. The port is 3012.
[2019-02-15T09:39:00.440Z] info API is started. The port is 3012.
[2019-02-15T09:40:33.695Z] info API is started. The port is 3012.
[2019-02-15T09:43:57.201Z] info API is started. The port is 3012.
[2019-02-15T09:44:28.707Z] info API is started. The port is 3012.
[2019-02-15T09:45:42.146Z] info API is started. The port is 3012.
[2019-02-15T10:27:50.245Z] info API is started. The port is 3000.
[2019-02-15T11:11:49.724Z] info API is started. The port is 3000.
[2019-02-15T11:13:40.734Z] info API is started. The port is 3000.
[2019-02-15T11:15:13.778Z] info API is started. The port is 3000.
[2019-02-15T11:15:20.671Z] info API is started. The port is 3000.
[2019-02-15T11:15:26.849Z] error responseHandler.handleSuccess.findUserById is not a function
[2019-02-15T11:15:32.161Z] error responseHandler.handleSuccess.findUserById is not a function
